,Numero,Year,EXPEDIENTE,Nombre,NIVEL,Area,Disciplina,Subdisciplina,Especialidad,Institucion,Dependencia,Entidad,Pais,CVU
111,454549,2023,239743,AGUILAR_ LOPEZ_ JOSE_ LUIS,1,II.- BIOLOGIA Y QUIMICA,BIOLOGIA ANIMAL (ZOOLOGIA),NA,ECOLOGIA ANIMAL,INSTITUTO DE ECOLOGIA A.C. (INECOL),NA,NA,MEXICO,NA
112,406760,2020,239743,AGUILAR_ LOPEZ_ JOSE_ LUIS,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,BIOLOGIA ANIMAL (ZOOLOGIA),ECOLOGIA Y HERPETOLOGIA,"INSTITUTO DE ECOLOGIA, A.C. (INECOL)",SEDE XALAPA,Veracruz,MEXICO,NA
113,440019,2022,239743,AGUILAR_ LOPEZ_ JOSE_ LUIS,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,BIOLOGIA ANIMAL (ZOOLOGIA),ECOLOGIA Y HERPETOLOGIA,NA,UNIDAD VERACRUZ,NA,MEXICO,NA
115,517717,2024,165644,AGUILAR_ MEDRANO_ ROSALIA,1,NA,ECOLOGIA,NA,CONSERVACION ECOLOGICA,NA,NA,NA,MEXICO,NA
114,454567,2023,165644,AGUILAR_ MEDRANO_ ROSALIA,1,II.- BIOLOGIA Y QUIMICA,ECOLOGIA,NA,ECOLOGIA Y CIENCIAS AMBIENTALES,"CENTRO DE INVESTIGACION CIENTIFICA Y DE EDUCACION SUPERIOR DE ENSENADA, Baja California.",NA,NA,MEXICO,NA
116,454577,2023,209238,AGUILAR_ MONTIEL_ FERNANDO,C,"VII. CIENCIAS DE AGRICULTURA, AGROPECUARIAS, FORESTALES Y DE ECOSISTEMAS",CIENCIAS VETERINARIAS,NA,ECOLOGIA ANIMAL,UNIVERSIDAD AUTONOMA DE TLAXCALA,NA,NA,MEXICO,NA
117,454430,2023,359728,AGUILAR_ PABLO_ OCTAVIO,1,"VII. CIENCIAS DE AGRICULTURA, AGROPECUARIAS, FORESTALES Y DE ECOSISTEMAS",AGRONOMIA,NA,ECOLOGIA VEGETAL,UNIVERSIDAD AUTONOMA DEL ESTADO DE HIDALGO,NA,NA,MEXICO,NA
118,515172,2024,271976,AGUILAR_ PERALTA_ JOAN_ SEBASTIAN,C,NA,ECOLOGIA,NA,ECOLOGIA Y CIENCIAS AMBIENTALES,NA,NA,NA,MEXICO,NA
119,454622,2023,358792,AGUILAR_ RODRIGUEZ_ PEDRO_ ADRIAN,C,II.- BIOLOGIA Y QUIMICA,ECOLOGIA,NA,CONSERVACION ECOLOGICA,CONSEJO NACIONAL DE CIENCIA Y TECNOLOGIA/ UNIVERSIDAD VERACRUZANA,NA,NA,MEXICO,NA
120,518575,2024,358792,AGUILAR_ RODRIGUEZ_ PEDRO_ ADRIAN,C,NA,ECOLOGIA,NA,CONSERVACION ECOLOGICA,NA,NA,NA,MEXICO,NA
129,228529,2014,103680,AGUIRRE_ GARRIDO_ JOSE_ FELIX,C,VI.- BIOTECNOLOGIA Y CIENCIAS AGROPECUARIAS,CIENCIAS DE LA VIDA,MICROBIOLOGIA,ECOLOGIA MOLECULAR,UNIVERSIDAD AUTONOMA METROPOLITANA,UNIDAD XOCHIMILCO,Ciudad de Mexico,MEXICO,103680
130,262670,2015,103680,AGUIRRE_ GARRIDO_ JOSE_ FELIX,C,VI.- BIOTECNOLOGIA Y CIENCIAS AGROPECUARIAS,CIENCIAS DE LA VIDA,OTROS,ECOLOGIA MOLECULAR,UNIVERSIDAD AUTONOMA METROPOLITANA,UNIDAD XOCHIMILCO,Ciudad de Mexico,MEXICO,NA
131,285984,2016,103680,AGUIRRE_ GARRIDO_ JOSE_ FELIX,C,VI.- BIOTECNOLOGIA Y CIENCIAS AGROPECUARIAS,CIENCIAS DE LA VIDA,MICROBIOLOGIA,ECOLOGIA MOLECULAR,UNIVERSIDAD AUTONOMA METROPOLITANA,UNIDAD XOCHIMILCO,Ciudad de Mexico,MEXICO,NA
132,397326,2020,103680,AGUIRRE_ GARRIDO_ JOSE_ FELIX,1,VI.- BIOTECNOLOGIA Y CIENCIAS AGROPECUARIAS,CIENCIAS DE LA VIDA,MICROBIOLOGIA,ECOLOGIA MOLECULAR,UNIVERSIDAD AUTONOMA METROPOLITANA,UNIDAD LERMA,Mexico,MEXICO,NA
133,517128,2024,217171,AGUIRRE_ GUTIERREZ_ JESUS,1,NA,CONSERVACION DE ECOSISTEMAS,NA,CONSERVACION ECOLOGICA,NA,NA,NA,MEXICO,NA
135,155946,2010,84213,AGUIRRE_ JAIMES_ ARMANDO,C,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,BOTANICA,"ECOLOGIA TROPICAL, INTERACCIONES PLANTA-ANIMAL","INSTITUTO DE ECOLOGIA, A.C. (INECOL)",DIVISION DE ECOLOGIA,Veracruz,MEXICO,84213
136,172552,2011,84213,AGUIRRE_ JAIMES_ ARMANDO,C,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,BOTANICA,"ECOLOGIA TROPICAL, INTERACCIONES PLANTA-ANIMAL","INSTITUTO DE ECOLOGIA, A.C. (INECOL)",DIVISION DE ECOLOGIA,Veracruz,MEXICO,84213
137,190200,2012,84213,AGUIRRE_ JAIMES_ ARMANDO,C,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,BOTANICA,"ECOLOGIA TROPICAL, INTERACCIONES PLANTA-ANIMAL",UNIVERSIDAD VERACRUZANA,CAMPUS ORIZABA-CORDOBA,Veracruz,MEXICO,84213
134,454757,2023,84213,AGUIRRE_ JAIMES_ ARMANDO,2,II.- BIOLOGIA Y QUIMICA,ECOLOGIA,NA,ECOLOGIA Y CIENCIAS AMBIENTALES,INSTITUTO DE ECOLOGIA A.C. (INECOL),NA,NA,MEXICO,NA
138,6051,1991,11839,AGUIRRE_ MACEDO_ LEOPOLDINA,C,II.- BIOLOGIA Y QUIMICA,BIOLOGIA,BIOLOGIA,"TAXONOMIA, BIOLOGIA Y ECOLOGIA DE PARASITOS",NA,NA,Yucatan,MEXICO,NA
139,18904,1993,11839,AGUIRRE_ MACEDO_ LEOPOLDINA,C,II.- BIOLOGIA Y QUIMICA,BIOLOGIA,PARASITOLOGIA,"TAXONOMIA, BIOLOGIA Y ECOLOGIA DE PARASITOS",CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL INSTITUTO POLITECNICO NACIONAL (CINVESTAV),UNIDAD MERIDA,Yucatan,MEXICO,NA
140,12655,1992,11839,AGUIRRE_ MACEDO_ LEOPOLDINA,C,II.- BIOLOGIA Y QUIMICA,BIOLOGIA,BIOLOGIA,"TAXONOMIA, BIOLOGIA Y ECOLOGIA DE PARASITOS",NA,NA,Yucatan,NA,NA
144,56887,1999,11839,AGUIRRE_ MACEDO_ MA._ LEOPOLDINA,1,II.- BIOLOGIA Y QUIMICA,BIOLOGIA,PARASITOLOGIA,BIOLOGIA Y ECOLOGIA DEL PARASITISMO,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL INSTITUTO POLITECNICO NACIONAL (CINVESTAV),UNIDAD MERIDA,Yucatan,MEXICO,NA
152,172556,2011,11839,AGUIRRE_ MACEDO_ MA._ LEOPOLDINA,2,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,BIOLOGIA ANIMAL Y ZOOLOGIA,"TAXONOM-A, BIOLOG-A Y ECOLOGIA DE PAR-SITOS DE ORG",CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL INSTITUTO POLITECNICO NACIONAL,UNIDAD MERIDA,Yucatan,MEXICO,11839
155,356883,2019,11839,AGUIRRE_ MACEDO_ MA._ LEOPOLDINA,3,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,PARASITOLOGIA ANIMAL,"TAXONOMIA Y ECOLOGIA DE HELMINTOS, MCROBIOLOGIA",CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL INSTITUTO POLITECNICO NACIONAL,UNIDAD MERIDA,Yucatan,MEXICO,NA
156,387344,2020,11839,AGUIRRE_ MACEDO_ MA._ LEOPOLDINA,3,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,BIOLOGIA ANIMAL Y ZOOLOGIA,"TAXONOMIA Y ECOLOGIA DE HELMINTOS, MCROBIOLOGIA",CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL INSTITUTO POLITECNICO NACIONAL,UNIDAD MERIDA,Yucatan,MEXICO,NA
158,420352,2022,11839,AGUIRRE_ MACEDO_ MA._ LEOPOLDINA,1,II.- BIOLOGIA Y QUIMICA,BIOLOGIA ANIMAL Y ZOOLOGIA,PARASITOLOGIA ANIMAL,"TAXONOMIA Y ECOLOGIA DE HELMINTOS, MCROBIOLOGIA",NA,UNIDAD MERIDA,NA,MEXICO,NA
141,42907,1997,11839,AGUIRRE_ MACEDO_ MA._ LEOPOLDINA,1,II.- BIOLOGIA Y QUIMICA,BIOLOGIA,PARASITOLOGIA,"TAXONOMIA, BIOLOGIA Y ECOLOGIA DE PARASITOS",CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL INSTITUTO POLITECNICO NACIONAL (CINVESTAV),UNIDAD MERIDA,Yucatan,MEXICO,NA
142,49641,1998,11839,AGUIRRE_ MACEDO_ MA._ LEOPOLDINA,1,II.- BIOLOGIA Y QUIMICA,BIOLOGIA,PARASITOLOGIA,"TAXONOMIA, BIOLOGIA Y ECOLOGIA DE PARASITOS",CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL INSTITUTO POLITECNICO NACIONAL (CINVESTAV),UNIDAD MERIDA,Yucatan,MEXICO,NA
143,155950,2010,11839,AGUIRRE_ MACEDO_ MA._ LEOPOLDINA,2,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,BIOLOGIA ANIMAL Y ZOOLOGIA,"TAXONOMIA, BIOLOGIA Y ECOLOGIA DE PARASITOS",CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL INSTITUTO POLITECNICO NACIONAL,UNIDAD MERIDA,Yucatan,MEXICO,11839
151,140352,2009,11839,AGUIRRE_ MACEDO_ MA._ LEOPOLDINA,2,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,PARASITOLOGIA,"TAXONOMIA, BIOLOGIA Y ECOLOGIA DE PARASITOS",CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL INSTITUTO POLITECNICO NACIONAL,UNIDAD MERIDA,Yucatan,MEXICO,11839
153,190204,2012,11839,AGUIRRE_ MACEDO_ MA._ LEOPOLDINA,2,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,BIOLOGIA ANIMAL Y ZOOLOGIA,"TAXONOMIA, BIOLOGIA Y ECOLOGIA DE PARASITOS",CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL INSTITUTO POLITECNICO NACIONAL,UNIDAD MERIDA,Yucatan,MEXICO,11839
157,125662,2008,11839,AGUIRRE_ MACEDO_ MA._ LEOPOLDINA,2,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,BIOLOGIA ANIMAL Y ZOOLOGIA,"TAXONOMIA, BIOLOGIA Y ECOLOGIA DE PARASITOS",CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL INSTITUTO POLITECNICO NACIONAL,UNIDAD MERIDA,Yucatan,MEXICO,11839
159,24796,1994,11839,AGUIRRE_ MACEDO_ MARIA_ LEOPOLDINA,C,II.- BIOLOGIA Y QUIMICA,BIOLOGIA,PARASITOLOGIA,"TAXONOMIA, BIOLOGIA Y ECOLOGIA DE PARASITOS",CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL INSTITUTO POLITECNICO NACIONAL (CINVESTAV),UNIDAD MERIDA,Yucatan,MEXICO,NA
166,428411,2022,76602,AGUIRRE_ PLANTER_ ERIKA,1,II.- BIOLOGIA Y QUIMICA,EVOLUCION,,ECOLOGIA EVOLUTIVA,NA,COORDINACION DE INVESTIGACION CIENTIFICA,NA,MEXICO,NA
162,172562,2011,76602,AGUIRRE_ PLANTER_ ERIKA,C,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,EVOLUCION,ECOLOGIA Y GEN+TICA DE POBLACIONES DE PLANTAS,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE ECOLOGIA,Ciudad de Mexico,MEXICO,76602
163,228551,2014,76602,AGUIRRE_ PLANTER_ ERIKA,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,EVOLUCION,ECOLOGIA Y GEN+TICA DE POBLACIONES EN PLAN,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE ECOLOGIA,Ciudad de Mexico,MEXICO,76602
164,261021,2015,76602,AGUIRRE_ PLANTER_ ERIKA,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,,ECOLOGIA Y GEN╔TICA DE POBLACIONES EN PLAN,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE ECOLOGIA,Ciudad de Mexico,MEXICO,NA
160,155957,2010,76602,AGUIRRE_ PLANTER_ ERIKA,C,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,EVOLUCION,ECOLOGIA Y GENETICA DE POBLACIONES DE PLANTAS,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE ECOLOGIA,Ciudad de Mexico,MEXICO,76602
161,140359,2009,76602,AGUIRRE_ PLANTER_ ERIKA,C,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,,ECOLOGIA Y GENETICA DE POBLACIONES DE PLANTAS,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE ECOLOGIA,Ciudad de Mexico,MEXICO,76602
165,284319,2016,76602,AGUIRRE_ PLANTER_ ERIKA,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,EVOLUCION,ECOLOGIA Y GENETICA DE POBLACIONES EN PLAN,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE ECOLOGIA,Ciudad de Mexico,MEXICO,NA
178,262814,2015,105507,ALANIS_ RODRIGUEZ_ EDUARDO,1,VI.- BIOTECNOLOGIA Y CIENCIAS AGROPECUARIAS,CIENCIAS AGRONOMICAS Y VETERINARIAS,OTROS,ECOLOGIA DE RECURSOS FORESTALES,UNIVERSIDAD AUTONOMA DE NUEVO LEON,FACULTAD DE CIENCIAS FORESTALES,Nuevo Leon,MEXICO,NA
179,286142,2016,105507,ALANIS_ RODRIGUEZ_ EDUARDO,1,VI.- BIOTECNOLOGIA Y CIENCIAS AGROPECUARIAS,CIENCIAS AGRONOMICAS Y VETERINARIAS,SILVICULTURA,ECOLOGIA DE RECURSOS FORESTALES,UNIVERSIDAD AUTONOMA DE NUEVO LEON,FACULTAD DE CIENCIAS FORESTALES,Nuevo Leon,MEXICO,NA
180,311244,2017,105507,ALANIS_ RODRIGUEZ_ EDUARDO,1,VI.- BIOTECNOLOGIA Y CIENCIAS AGROPECUARIAS,CIENCIAS AGRONOMICAS Y VETERINARIAS,SILVICULTURA,ECOLOGIA DE RECURSOS FORESTALES,UNIVERSIDAD AUTONOMA DE NUEVO LEON,FACULTAD DE CIENCIAS FORESTALES,Nuevo Leon,MEXICO,NA
181,338269,2018,105507,ALANIS_ RODRIGUEZ_ EDUARDO,1,VI.- BIOTECNOLOGIA Y CIENCIAS AGROPECUARIAS,CIENCIAS AGRONOMICAS Y VETERINARIAS,SILVICULTURA,ECOLOGIA DE RECURSOS FORESTALES,UNIVERSIDAD AUTONOMA DE NUEVO LEON,FACULTAD DE CIENCIAS FORESTALES,Nuevo Leon,MEXICO,NA
182,366810,2019,105507,ALANIS_ RODRIGUEZ_ EDUARDO,1,VI.- BIOTECNOLOGIA Y CIENCIAS AGROPECUARIAS,CIENCIAS AGRARIAS,SILVICULTURA,ECOLOGIA DE RECURSOS FORESTALES,UNIVERSIDAD AUTONOMA DE NUEVO LEON,FACULTAD DE CIENCIAS FORESTALES,Nuevo Leon,MEXICO,NA
183,397502,2020,105507,ALANIS_ RODRIGUEZ_ EDUARDO,1,VI.- BIOTECNOLOGIA Y CIENCIAS AGROPECUARIAS,CIENCIAS AGRONOMICAS Y VETERINARIAS,SILVICULTURA,ECOLOGIA DE RECURSOS FORESTALES,UNIVERSIDAD AUTONOMA DE NUEVO LEON,FACULTAD DE CIENCIAS FORESTALES,Nuevo Leon,MEXICO,NA
184,430621,2022,105507,ALANIS_ RODRIGUEZ_ EDUARDO,1,"VII. CIENCIAS DE AGRICULTURA, AGROPECUARIAS, FORESTALES Y DE ECOSISTEMAS",SILVICULTURA,OTROS,ECOLOGIA DE RECURSOS FORESTALES,NA,FACULTAD DE CIENCIAS FORESTALES,NA,MEXICO,NA
176,190239,2012,105507,ALANIS_ RODRIGUEZ_ EDUARDO,1,VI.- BIOTECNOLOGIA Y CIENCIAS AGROPECUARIAS,CIENCIAS AGRONOMICAS Y VETERINARIAS,SILVICULTURA,RESTAURACION ECOLOGICA,UNIVERSIDAD AUTONOMA DE NUEVO LEON,FACULTAD DE CIENCIAS FORESTALES,Nuevo Leon,MEXICO,105507
177,208801,2013,105507,ALANIS_ RODRIGUEZ_ EDUARDO,1,VI.- BIOTECNOLOGIA Y CIENCIAS AGROPECUARIAS,CIENCIAS AGRONOMICAS Y VETERINARI,SILVICULTURA,RESTAURACION ECOLOGICA,UNIVERSIDAD AUTONOMA DE NUEVO LEON,FACULTAD DE CIENCIAS FORESTALES,Nuevo Leon,MEXICO,105507
185,155992,2010,35246,ALARCON_ GUTIERREZ_ ENRIQUE,C,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,MICROBIOLOGIA,ECOLOGIA MICROBIANA,UNIVERSIDAD VERACRUZANA,FACULTAD DE SOCIOLOGIA,Veracruz,MEXICO,35246
186,140389,2009,35246,ALARCON_ GUTIERREZ_ ENRIQUE,C,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,,ECOLOGIA MICROBIANA,"INSTITUTO DE ECOLOGIA, A.C. (INECOL)",AREA DE ECOLOGIA BIOSISTEMATICA DE ANIMALES Y BIOGEOGRAFIA,Veracruz,MEXICO,35246
187,172599,2011,35246,ALARCON_ GUTIERREZ_ ENRIQUE,C,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,MICROBIOLOGIA,ECOLOGIA MICROBIANA,UNIVERSIDAD VERACRUZANA,FACULTAD DE SOCIOLOGIA,Veracruz,MEXICO,35246
188,190248,2012,35246,ALARCON_ GUTIERREZ_ ENRIQUE,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,CIENCIAS DEL SUELO,ECOLOGIA MICROBIANA DE SUELO,UNIVERSIDAD VERACRUZANA,INSTITUTO DE GENETICA FORESTAL,Veracruz,MEXICO,35246
189,208811,2013,35246,ALARCON_ GUTIERREZ_ ENRIQUE,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,CIENCIAS DEL SUELO,ECOLOGIA MICROBIANA DE SUELO,UNIVERSIDAD VERACRUZANA,INSTITUTO DE GENETICA FORESTAL,Veracruz,MEXICO,35246
190,228592,2014,35246,ALARCON_ GUTIERREZ_ ENRIQUE,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,CIENCIAS DEL SUELO,ECOLOGIA MICROBIANA DE SUELO,UNIVERSIDAD VERACRUZANA,INSTITUTO DE GENETICA FORESTAL,Veracruz,MEXICO,35246
191,280746,2016,35246,ALARCON_ GUTIERREZ_ ENRIQUE,1,VI.- BIOTECNOLOGIA Y CIENCIAS AGROPECUARIAS,CIENCIAS DE LA TIERRA Y DEL COSMOS,CIENCIAS DEL SUELO,ECOLOGIA MICROBIANA Y PROCESOS MICROBIANOS,UNIVERSIDAD VERACRUZANA,CAMPUS XALAPA,Veracruz,MEXICO,NA
192,305744,2017,35246,ALARCON_ GUTIERREZ_ ENRIQUE,1,VI.- BIOTECNOLOGIA Y CIENCIAS AGROPECUARIAS,CIENCIAS DE LA TIERRA Y DEL COSMOS,CIENCIAS DEL SUELO,ECOLOGIA MICROBIANA Y PROCESOS MICROBIANOS,UNIVERSIDAD VERACRUZANA,CAMPUS XALAPA,Veracruz,MEXICO,NA
193,332743,2018,35246,ALARCON_ GUTIERREZ_ ENRIQUE,1,VI.- BIOTECNOLOGIA Y CIENCIAS AGROPECUARIAS,CIENCIAS DE LA TIERRA Y DEL COSMOS,CIENCIAS DEL SUELO,ECOLOGIA MICROBIANA Y PROCESOS MICROBIANOS,UNIVERSIDAD VERACRUZANA,CAMPUS XALAPA,Veracruz,MEXICO,NA
194,361244,2019,35246,ALARCON_ GUTIERREZ_ ENRIQUE,1,VI.- BIOTECNOLOGIA Y CIENCIAS AGROPECUARIAS,BIOTECNOLOGIA,OTRAS,ECOLOGIA MICROBIANA Y PROCESOS MICROBIANOS,UNIVERSIDAD VERACRUZANA,CAMPUS XALAPA,Veracruz,MEXICO,NA
195,391683,2020,35246,ALARCON_ GUTIERREZ_ ENRIQUE,1,VI.- BIOTECNOLOGIA Y CIENCIAS AGROPECUARIAS,CIENCIAS DE LA TIERRA Y DEL COSMOS,CIENCIAS DEL SUELO,ECOLOGIA MICROBIANA Y PROCESOS MICROBIANOS,UNIVERSIDAD VERACRUZANA,CAMPUS XALAPA,Veracruz,MEXICO,NA
196,424564,2022,35246,ALARCON_ GUTIERREZ_ ENRIQUE,1,"VII. CIENCIAS DE AGRICULTURA, AGROPECUARIAS, FORESTALES Y DE ECOSISTEMAS",CIENCIAS DEL SUELO,BIOLOGICA DE SUELOS,ECOLOGIA MICROBIANA Y PROCESOS MICROBIANOS,NA,INSTITUTO DE BIOTECNOLOGIA Y ECOLOGIA APLICADA,NA,MEXICO,NA
200,258992,2015,40725,ALBORES_ BARAJAS_ YURI_ VLADIMIR,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,ECOLOGIA ANIMAL,ECOLOGIA Y ZOOLOGIA,UNIVERSITA CA FOSCARI VENEZIA,,EXTERIOR,MEXICO,NA
201,172642,2011,75821,ALCALA_ MARTINEZ_ RAUL_ ERNESTO,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,GENETICA,ECOLOGIA EVOLUTIVA,UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS,CENTRO DE INVESTIGACION EN BIODIVERSIDAD Y CONSERVACION,Morelos,MEXICO,75821
202,190295,2012,75821,ALCALA_ MARTINEZ_ RAUL_ ERNESTO,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,GENETICA,ECOLOGIA EVOLUTIVA,UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS,CENTRO DE INVESTIGACION EN BIODIVERSIDAD Y CONSERVACION,Morelos,MEXICO,75821
203,208863,2013,75821,ALCALA_ MARTINEZ_ RAUL_ ERNESTO,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,GENETICA,ECOLOGIA EVOLUTIVA,UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS,CENTRO DE INVESTIGACION EN BIODIVERSIDAD Y CONSERVACION,Morelos,MEXICO,75821
208,336345,2018,75821,ALCALA_ MARTINEZ_ RAUL_ ERNESTO,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,EVOLUCION,ECOLOGIA EVOLUTIVA,UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS,CENTRO DE INVESTIGACION EN BIODIVERSIDAD Y CONSERVACION,Morelos,MEXICO,NA
209,364830,2019,75821,ALCALA_ MARTINEZ_ RAUL_ ERNESTO,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,,ECOLOGIA EVOLUTIVA,UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS,CENTRO DE INVESTIGACION EN BIODIVERSIDAD Y CONSERVACION,Morelos,MEXICO,NA
210,395374,2020,75821,ALCALA_ MARTINEZ_ RAUL_ ERNESTO,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,EVOLUCION,ECOLOGIA EVOLUTIVA,UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS,CENTRO DE INVESTIGACION EN BIODIVERSIDAD Y CONSERVACION,Morelos,MEXICO,NA
211,428381,2022,75821,ALCALA_ MARTINEZ_ RAUL_ ERNESTO,1,II.- BIOLOGIA Y QUIMICA,EVOLUCION,,ECOLOGIA EVOLUTIVA,NA,CENTRO DE INVESTIGACION EN BIODIVERSIDAD Y CONSERVACION,NA,MEXICO,NA
204,228648,2014,75821,ALCALA_ MARTINEZ_ RAUL_ ERNESTO,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,EVOLUCION,"ECOLOGIA EVOLUTIVA, GEN+TICA DE POBLACIONE",UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS,CENTRO DE INVESTIGACION EN BIODIVERSIDAD Y CONSERVACION,Morelos,MEXICO,75821
205,260996,2015,75821,ALCALA_ MARTINEZ_ RAUL_ ERNESTO,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,,"ECOLOGIA EVOLUTIVA, GEN╔TICA DE POBLACIONE",UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS,CENTRO DE INVESTIGACION EN BIODIVERSIDAD Y CONSERVACION,Morelos,MEXICO,NA
206,284293,2016,75821,ALCALA_ MARTINEZ_ RAUL_ ERNESTO,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,EVOLUCION,"ECOLOGIA EVOLUTIVA, GENETICA DE POBLACIONE",UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS,CENTRO DE INVESTIGACION EN BIODIVERSIDAD Y CONSERVACION,Morelos,MEXICO,NA
207,309356,2017,75821,ALCALA_ MARTINEZ_ RAUL_ ERNESTO,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,EVOLUCION,"ECOLOGIA EVOLUTIVA, GENETICA DE POBLACIONE",UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS,CENTRO DE INVESTIGACION EN BIODIVERSIDAD Y CONSERVACION,Morelos,MEXICO,NA
212,315867,2017,200251,ALCANTARA_ CONCEPCION_ PEDRO_ CAMILO,1,I.- FISICO-MATEMATICAS Y CIENCIAS DE LA TIERRA,CIENCIAS DE LA TIERRA Y DEL COSMOS,OTRAS ESPECIALIDADES EN MATERIA DE CIENCIAS DE LA,"GEOMATICA, ECOLOGIA DEL PAISAJE Y FORESTERIA",UNIVERSIDAD DE GUANAJUATO,CAMPUS GUANAJUATO,Guanajuato,MEXICO,NA
213,342895,2018,200251,ALCANTARA_ CONCEPCION_ PEDRO_ CAMILO,1,I.- FISICO-MATEMATICAS Y CIENCIAS DE LA TIERRA,CIENCIAS DE LA TIERRA Y DEL COSMOS,OTRAS ESPECIALIDADES EN MATERIA DE CIENCIAS DE LA,"GEOMATICA, ECOLOGIA DEL PAISAJE Y FORESTERIA",UNIVERSIDAD DE GUANAJUATO,CAMPUS GUANAJUATO,Guanajuato,MEXICO,NA
